year,country,arrivals
2023,TWN,314100
2023,TZA,2648
2023,UGA,1642
2023,UKR,13729
2023,URY,1368
2023,USA,267340
2023,UZB,16127
2023,VAT,5
2023,VCT,43
2023,VEN,1250
2023,VNM,402145
2023,VUT,1415
2023,WSM,57
2023,XXX,6664
2023,YEM,16599
2023,ZAF,19621
2023,ZAR,5
2023,ZMB,970
2023,ZWE,2025
2024,MAR,22622
2024,Afghanistan,581
2024,AGO,79
2024,AIA,4
2024,ALB,772
2024,AND,133
2024,ANT,2
2024,ARE,6212
2024,ARG,6630
2024,ARM,910
2024,ATA,1
2024,ATG,199
2024,AUS,357525
2024,AUT,13701
2024,AZE,2178
2024,BDI,60
2024,BEL,25545
2024,BEN,154
2024,BFA,106
2024,BGD,334011
2024,BGR,3930
2024,BHR,2533
2024,BHS,109
2024,BIH,951
2024,BLR,4687
2024,BLZ,127
2024,BMU,4
2024,BOL,386
2024,BRA,14521
2024,BRB,118
2024,BRN,1435830
2024,BTN,857
2024,BWA,184
2024,CAF,5
2024,CAN,81656
2024,CCK,1
2024,CHE,26591
2024,CHL,4236
2024,CHN,3211029
2024,CIV,271
2024,CMR,374
2024,COD,222
2024,COG,32
2024,COL,2834
2024,COM,227
2024,CPV,33
2024,CRI,905
2024,CUB,336
2024,CYM,1
2024,CYP,1071
2024,CZE,10299
2024,DEU,145502
2024,DJI,160
2024,DMA,642
2024,DNK,19277
2024,DOM,217
2024,DZA,15158
2024,ECU,1098
2024,EGY,23158
2024,ERI,208
2024,ESP,61861
2024,EST,3067
2024,ETH,564
2024,FIN,9590
2024,FJI,2353
2024,FRA,166747
2024,FSM,31
2024,GAB,128
2024,GBR,345519
2024,GEO,769
2024,GHA,1480
2024,GIB,3
2024,GIN,775
2024,GMB,293
2024,GNB,7
2024,GNQ,24
2024,GRC,4040
2024,GRD,204
2024,GRL,2
2024,GTM,325
2024,GUM,1
2024,GUY,121
2024,HKG,16304
2024,HND,233
2024,HRV,2855
2024,HTI,148
2024,HUN,9185
2024,IDN,3596939
2024,IND,1214148
2024,IOT,3
2024,IRL,22017
2024,IRN,24558
2024,IRQ,17013
2024,ISL,481
2024,ISR,12
2024,ITA,71702
2024,JAM,328
2024,JOR,11036
2024,JPN,343665
2024,KAZ,32171
2024,KEN,6050
2024,KGZ,4944
2024,KHM,69226
2024,KIR,23
2024,KNA,916
2024,KOR,477791
2024,KWT,10684
2024,LAO,23640
2024,LBN,3713
2024,LBR,117
2024,LBY,3950
2024,LCA,220
2024,LIE,107
2024,LKA,54385
2024,LSO,74
2024,LTU,6897
2024,LUX,968
2024,LVA,2768
2024,MAC,69
2024,MCO,42
2024,MDA,489
2024,MDG,1482
2024,MDV,33465
2024,MEX,10059
2024,MHL,42
2024,MKD,723
2024,MLI,157
2024,MLT,709
2024,MMR,145642
2024,MNE,234
2024,MNG,7469
2024,MOZ,450
2024,MRT,304
2024,MUS,17485
2024,MWI,268
2024,NAM,195
2024,NCL,1
2024,NER,40
2024,NGA,5137
2024,NIC,120
2024,NLD,82214
2024,NOR,12740
2024,NPL,84889
2024,NRU,23
2024,NZL,47050
2024,OMN,22311
2024,PAK,116427
2024,PAN,401
2024,PER,1967
2024,PHL,506081
2024,PLW,33
2024,PNG,1285
2024,POL,30034
2024,PRI,1
2024,PRK,1
2024,PRT,13680
2024,PRY,203
2024,PSE,4140
2024,QAT,2438
2024,ROU,10911
2024,RUS,106814
2024,RWA,121
2024,SAU,59396
2024,SDN,13126
2024,SEN,802
2024,SGP,15049829
2024,SHN,2
2024,SLB,236
2024,SLE,391
2024,SLV,215
2024,SMR,43
2024,SOM,2497
2024,SPM,1
2024,SRB,1970
2024,SSD,367
2024,STP,8
2024,SUR,317
2024,SVK,5881
2024,SVN,3380
2024,SWE,18498
2024,SWZ,335
2024,SYC,1179
2024,SYR,8012
2024,TCA,2
2024,TCD,375
2024,TGO,121
2024,THA,1962819
2024,TJK,2103
2024,TKM,6829
2024,TLS,2687
2024,TON,220
2024,TTO,463
2024,TUN,10721
2024,TUR,25067
2024,TUV,10
2024,TWN,369188
2024,TZA,2486
2024,UGA,2543
2024,UKR,13611
2024,URY,839
2024,USA,256745
2024,UZB,17210
2024,VAT,9
2024,VCT,31
2024,VEN,1243
2024,VNM,343800
2024,VUT,1455
2024,WSM,43
2024,XXX,689
2024,YEM,15000
2024,ZAF,16785
2024,ZAR,23
2024,ZMB,895
2024,ZWE,1943
